Fecha,Producto,Precio_ARS,Precio_USD,Dolar_ARS
2026-03-04,Big Mac solo hamburguesa,8400.0,5.853658536585366,1435.0
2026-03-05,Big Mac Combo,15600.0,10.985915492957746,1420.0
2026-03-05,Big Mac solo hamburguesa,8400.0,5.915492957746479,1420.0
2026-03-06,Big Mac Combo,15600.0,10.947368421052632,1425.0
2026-03-06,Big Mac solo hamburguesa,8400.0,5.894736842105263,1425.0
2026-03-07,Big Mac Combo,15600.0,10.871080139372822,1435.0
2026-03-07,Big Mac solo hamburguesa,8400.0,5.853658536585366,1435.0
2026-03-08,Big Mac Combo,15600.0,10.871080139372822,1435.0
2026-03-08,Big Mac solo hamburguesa,8400.0,5.853658536585366,1435.0
2026-03-09,Big Mac Combo,15600.0,10.871080139372822,1435.0
2026-03-09,Big Mac solo hamburguesa,8400.0,5.853658536585366,1435.0
